#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2025-05-04-02-24-17
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1556429094.830139	CDrtdg1iebA39InjSl	192.168.1.180	123	203.59.7.250	123	4	3	3	512.000000	0.000000	0.035461	0.035385	207.148.86.221	1556428811.279742	1556428825.867202	1556428825.896863	1556429094.830087	0
1556429094.898658	CDrtdg1iebA39InjSl	192.168.1.180	123	203.59.7.250	123	4	4	2	512.000000	0.000000	0.000412	0.002792	57.94.37.217	1556429047.382267	1556429094.830087	1556429094.866699	1556429094.866761	0
1556429129.830041	Cbs25YzIrszQV9d7j	192.168.1.180	123	103.214.220.220	123	4	3	3	512.000000	0.000000	0.035461	0.035904	207.148.86.221	1556428811.279742	1556428862.842459	1556428862.846884	1556429129.829998	0
1556429129.847554	Cbs25YzIrszQV9d7j	192.168.1.180	123	103.214.220.220	123	4	4	2	512.000000	0.000000	0.037720	0.019073	221.95.54.210	1556428999.204706	1556429129.829998	1556429129.842870	1556429129.842897	0
1556429294.830385	C6FXZt2v0nc6lvyxKc	192.168.1.180	123	103.126.53.123	123	4	3	3	512.000000	0.000000	0.035461	0.038376	207.148.86.221	1556428811.279742	1556429027.839725	1556429027.843372	1556429294.830351	0
1556429294.842552	C6FXZt2v0nc6lvyxKc	192.168.1.180	123	103.126.53.123	123	4	4	2	512.000000	0.000000	0.012924	0.023117	223.252.32.9	1556428869.849146	1556429294.830351	1556429294.840003	1556429294.840047	0
1556429334.830292	CUB8caHy1FAoz0Mhf	192.168.1.180	123	144.48.166.166	123	4	3	3	512.000000	0.000000	0.035461	0.038986	207.148.86.221	1556428811.279742	1556429066.842817	1556429066.847594	1556429334.830256	0
1556429334.848459	CUB8caHy1FAoz0Mhf	192.168.1.180	123	144.48.166.166	123	4	4	2	512.000000	0.000000	0.037933	0.034058	221.95.54.210	1556428201.619218	1556429334.830256	1556429334.843224	1556429334.843282	0
1556429388.885225	C1XcPV2Yn5ui16kLo2	192.168.1.193	123	52.163.118.68	123	3	3	0	131072.000000	0.015625	0.000000	1.015625	\x00\x00\x00\x00	1556429191.031375	0.000000	0.000000	1556429388.359375	0
1556429388.996983	C1XcPV2Yn5ui16kLo2	192.168.1.193	123	52.163.118.68	123	3	4	2	131072.000000	0.000000	0.183151	0.014130	132.163.97.4	1556429378.645332	1556429388.359375	1556429388.942259	1556429388.942345	0
1556429474.831663	CBTVo6P0GmLxVXQek	192.168.1.37	44413	13.55.50.68	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1556429474.205241	0
